"Color","Count","Locations"
"#000000","2",".\lib\theme.tsx:91, .\lib\theme.tsx:153"
"#007AFF","12",".\components\ChatSupportModal.tsx:242, .\components\ChatSupportModal.tsx:426, .\components\ChatSupportModal.tsx:430, .\components\ChatSupportModal.tsx:464, .\components\ChatSupportModal.tsx:493, .\components\ChatSupportModal.tsx:563, .\components\community\QuickPostBar.web.tsx:481, .\components\community\QuickPostBar.tsx:467, .\app\(tabs)\profile.tsx:1014, .\app\_backup_pricing\pricing_revenuecat.tsx:183, .\app\_backup_pricing\pricing_revenuecat.tsx:367, .\app\_backup_pricing\pricing_revenuecat.tsx:408"
"#047857","1",".\components\community\UpgradePromptModal.tsx:220"
"#059669","9",".\components\community\CommunityFeed.tsx:294, .\components\community\CommunityFeed.tsx:297, .\components\community\CommunityFeed.web.tsx:297, .\components\community\CommunityFeed.web.tsx:300, .\app\(tabs)\pricing.tsx:854, .\app\(tabs)\pricing.tsx:1654, .\app\(tabs)\leads.tsx:811, .\app\(tabs)\leads.tsx:814, .\app\_backup_pricing\pricing_stripe_backup.tsx:1199"
"#065F46","1",".\app\(tabs)\search.tsx:651"
"#080C16","3",".\app\(web)\contact.tsx:391, .\app\(web)\contact.tsx:447, .\app\(web)\contact.tsx:483"
"#0A66C2","1",".\components\leads\LeadDetailModal.tsx:83"
"#0B1120","4",".\app\(web)\contact.tsx:290, .\app\(web)\contact.tsx:311, .\app\(web)\contact.tsx:441, .\app\(web)\contact.tsx:527"
"#0EA5E9","2",".\app\(web)\pricing_web.tsx:63, .\app\(web)\pricing.tsx:58"
"#0EA765","2",".\app\(web)\pricing_web.tsx:78, .\app\(web)\pricing.tsx:73"
"#0F172A","22",".\app\(web)\index.tsx:377, .\app\(web)\index.tsx:601, .\app\(web)\index.tsx:665, .\app\(web)\index.tsx:706, .\app\(web)\index.tsx:805, .\app\(web)\contact.tsx:401, .\app\(web)\contact.tsx:470, .\app\(web)\contact.tsx:493, .\app\(web)\about.tsx:243, .\app\(web)\about.tsx:264, .\app\(web)\about.tsx:400, .\app\(web)\about.tsx:445, .\app\(web)\about.tsx:493, .\app\(web)\about.tsx:556, .\app\(web)\about.tsx:580, .\app\(web)\about.tsx:589, .\app\(web)\pricing_web.tsx:489, .\app\(web)\pricing_web.tsx:507, .\app\(web)\pricing_web.tsx:558, .\app\(web)\pricing.tsx:427, .\app\(web)\pricing.tsx:483, .\app\(web)\pricing.tsx:506"
"#0FB988","1",".\app\(web)\index.tsx:137"
